Power,Fuel,Cost,Efficiency,Lifetime,Power Code
486133.5340570324,0,14838659158.614166,486133.5340570324,10,"(0, 1, 0, 2, 1, 1)"
486133.5340570324,0,13349329747.885134,486133.5340570324,10,"(0, 1, 0, 2, 1, 2)"
486133.5340570324,0,2148533666.3143163,486133.5340570324,10,"(0, 1, 0, 3, 0, 0)"
486133.5340570324,0,2861087154.5252824,486133.5340570324,10,"(0, 1, 0, 3, 0, 1)"
486133.5340570324,0,3804912727.4309597,486133.5340570324,10,"(0, 1, 0, 3, 0, 2)"
486133.5340570324,0,2086835084.6521895,486133.5340570324,10,"(0, 1, 0, 3, 1, 0)"
486133.5340570324,0,2808292672.986527,486133.5340570324,10,"(0, 1, 0, 3, 1, 1)"
486133.5340570324,0,3755644297.4853578,486133.5340570324,10,"(0, 1, 0, 3, 1, 2)"
486243.5340570324,0,6705490008.912474,486243.5340570324,10,"(0, 1, 1, 0, 0, 0)"
486243.5340570324,0,6086324715.8805,486243.5340570324,10,"(0, 1, 1, 0, 0, 1)"
486243.5340570324,0,6319987531.342584,486243.5340570324,10,"(0, 1, 1, 0, 0, 2)"
486243.5340570324,0,6194179408.861527,486243.5340570324,10,"(0, 1, 1, 0, 1, 0)"
486243.5340570324,0,5718260257.1624,486243.5340570324,10,"(0, 1, 1, 0, 1, 1)"
486243.5340570324,0,6027089405.7640915,486243.5340570324,10,"(0, 1, 1, 0, 1, 2)"
486243.5340570324,0,2580051573.1363945,486243.5340570324,10,"(0, 1, 1, 1, 0, 0)"
486243.5340570324,0,3379280735.6558404,486243.5340570324,10,"(0, 1, 1, 1, 0, 1)"
486243.5340570324,0,4358014697.492959,486243.5340570324,10,"(0, 1, 1, 1, 0, 2)"
486243.5340570324,0,2484909914.8011284,486243.5340570324,10,"(0, 1, 1, 1, 1, 0)"
486243.5340570324,0,3284299483.8314447,486243.5340570324,10,"(0, 1, 1, 1, 1, 1)"
486243.5340570324,0,4263037998.6848073,486243.5340570324,10,"(0, 1, 1, 1, 1, 2)"
486243.5340570324,0,20799887629.81175,486243.5340570324,10,"(0, 1, 1, 2, 0, 0)"
486243.5340570324,0,16341247157.118858,486243.5340570324,10,"(0, 1, 1, 2, 0, 1)"
486243.5340570324,0,14574998984.745226,486243.5340570324,10,"(0, 1, 1, 2, 0, 2)"
486243.5340570324,0,18866724546.273098,486243.5340570324,10,"(0, 1, 1, 2, 1, 0)"
486243.5340570324,0,14938659158.614166,486243.5340570324,10,"(0, 1, 1, 2, 1, 1)"
486243.5340570324,0,13449329747.885134,486243.5340570324,10,"(0, 1, 1, 2, 1, 2)"
486243.5340570324,0,2248533666.3143163,486243.5340570324,10,"(0, 1, 1, 3, 0, 0)"
486243.5340570324,0,2961087154.5252824,486243.5340570324,10,"(0, 1, 1, 3, 0, 1)"
486243.5340570324,0,3904912727.4309597,486243.5340570324,10,"(0, 1, 1, 3, 0, 2)"
486243.5340570324,0,2186835084.6521897,486243.5340570324,10,"(0, 1, 1, 3, 1, 0)"
486243.5340570324,0,2908292672.986527,486243.5340570324,10,"(0, 1, 1, 3, 1, 1)"
486243.5340570324,0,3855644297.4853578,486243.5340570324,10,"(0, 1, 1, 3, 1, 2)"
486133.5340570324,0,3855832086.4134665,486133.5340570324,10,"(0, 2, 0, 0, 0, 0)"
486133.5340570324,0,4048086537.963315,486133.5340570324,10,"(0, 2, 0, 0, 0, 1)"
486133.5340570324,0,4707530084.897756,486133.5340570324,10,"(0, 2, 0, 0, 0, 2)"
486133.5340570324,0,3636698972.105918,486133.5340570324,10,"(0, 2, 0, 0, 1, 0)"
486133.5340570324,0,3890344627.08413,486133.5340570324,10,"(0, 2, 0, 0, 1, 1)"
486133.5340570324,0,4582002316.792688,486133.5340570324,10,"(0, 2, 0, 0, 1, 2)"
486133.5340570324,0,2087787042.509432,486133.5340570324,10,"(0, 2, 0, 1, 0, 0)"
486133.5340570324,0,2887924832.1527467,486133.5340570324,10,"(0, 2, 0, 1, 0, 1)"
486133.5340570324,0,3866684584.676489,486133.5340570324,10,"(0, 2, 0, 1, 0, 2)"
486133.5340570324,0,2047012046.0800323,486133.5340570324,10,"(0, 2, 0, 1, 1, 0)"
486133.5340570324,0,2847218581.370863,486133.5340570324,10,"(0, 2, 0, 1, 1, 1)"
486133.5340570324,0,3825980285.1872807,486133.5340570324,10,"(0, 2, 0, 1, 1, 2)"
486133.5340570324,0,9896288209.656012,486133.5340570324,10,"(0, 2, 0, 2, 0, 0)"
486133.5340570324,0,8443053298.4940405,486133.5340570324,10,"(0, 2, 0, 2, 0, 1)"
486133.5340570324,0,8245392136.356033,486133.5340570324,10,"(0, 2, 0, 2, 0, 2)"
486133.5340570324,0,9067789745.282307,486133.5340570324,10,"(0, 2, 0, 2, 1, 0)"
486133.5340570324,0,7841944156.277745,486133.5340570324,10,"(0, 2, 0, 2, 1, 1)"
486133.5340570324,0,7762962463.415992,486133.5340570324,10,"(0, 2, 0, 2, 1, 2)"
486133.5340570324,0,1945707939.5856843,486133.5340570324,10,"(0, 2, 0, 3, 0, 0)"
486133.5340570324,0,2708699011.668222,486133.5340570324,10,"(0, 2, 0, 3, 0, 1)"
486133.5340570324,0,3672498026.078489,486133.5340570324,10,"(0, 2, 0, 3, 0, 2)"
486133.5340570324,0,1919265690.301916,486133.5340570324,10,"(0, 2, 0, 3, 1, 0)"
486133.5340570324,0,2686072805.29447,486133.5340570324,10,"(0, 2, 0, 3, 1, 1)"
486133.5340570324,0,3651382984.6732306,486133.5340570324,10,"(0, 2, 0, 3, 1, 2)"
