Power,Fuel,Cost,Efficiency,Lifetime,Power Code
[433940.39884902],[0.],[1.48327919e+10],[433940.39884902],[10.],"(0, 0, 1, 1, 2, 0, 1)"
[433940.39884902],[0.],[1.33618814e+10],[433940.39884902],[10.],"(0, 0, 1, 1, 2, 0, 2)"
[433940.39884902],[0.],[1.70003928e+10],[433940.39884902],[10.],"(0, 0, 1, 1, 2, 1, 0)"
[433940.39884902],[0.],[1.35811084e+10],[433940.39884902],[10.],"(0, 0, 1, 1, 2, 1, 1)"
[433940.39884902],[0.],[1.2357323e+10],[433940.39884902],[10.],"(0, 0, 1, 1, 2, 1, 2)"
[433940.39884902],[0.],[2.17015408e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 3, 0, 0)"
[433940.39884902],[0.],[2.89220409e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 3, 0, 1)"
[433940.39884902],[0.],[3.83979032e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 3, 0, 2)"
[433940.39884902],[0.],[2.11509366e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 3, 1, 0)"
[433940.39884902],[0.],[2.84508977e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 3, 1, 1)"
[433940.39884902],[0.],[3.79582268e+09],[433940.39884902],[10.],"(0, 0, 1, 1, 3, 1, 2)"
[433830.39884902],[0.],[3.59376417e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 0, 0, 0)"
[433830.39884902],[0.],[3.85149414e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 0, 0, 1)"
[433830.39884902],[0.],[4.54529502e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 0, 0, 2)"
[433830.39884902],[0.],[3.3982076e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 0, 1, 0)"
[433830.39884902],[0.],[3.71072369e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 0, 1, 1)"
[433830.39884902],[0.],[4.43327279e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 0, 1, 2)"
[433830.39884902],[0.],[2.01594319e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 1, 0, 0)"
[433830.39884902],[0.],[2.8161543e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 1, 0, 1)"
[433830.39884902],[0.],[3.79491614e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 1, 0, 2)"
[433830.39884902],[0.],[1.97955518e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 1, 1, 0)"
[433830.39884902],[0.],[2.77982764e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 1, 1, 1)"
[433830.39884902],[0.],[3.75859121e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 1, 1, 2)"
[433830.39884902],[0.],[8.98432727e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 2, 0, 0)"
[433830.39884902],[0.],[7.77360617e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 2, 0, 1)"
[433830.39884902],[0.],[7.70251829e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 2, 0, 2)"
[433830.39884902],[0.],[8.244967e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 2, 1, 0)"
[433830.39884902],[0.],[7.2371704e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 2, 1, 1)"
[433830.39884902],[0.],[7.27199325e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 2, 1, 2)"
[433830.39884902],[0.],[1.88915039e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 3, 0, 0)"
[433830.39884902],[0.],[2.6562114e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 3, 0, 1)"
[433830.39884902],[0.],[3.62162212e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 3, 0, 2)"
[433830.39884902],[0.],[1.86555306e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 3, 1, 0)"
[433830.39884902],[0.],[2.63601955e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 3, 1, 1)"
[433830.39884902],[0.],[3.60277885e+09],[433830.39884902],[10.],"(0, 0, 2, 0, 3, 1, 2)"
[433940.39884902],[0.],[3.69376417e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 0, 0, 0)"
[433940.39884902],[0.],[3.95149414e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 0, 0, 1)"
[433940.39884902],[0.],[4.64529502e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 0, 0, 2)"
[433940.39884902],[0.],[3.4982076e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 0, 1, 0)"
[433940.39884902],[0.],[3.81072369e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 0, 1, 1)"
[433940.39884902],[0.],[4.53327279e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 0, 1, 2)"
[433940.39884902],[0.],[2.11594319e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 1, 0, 0)"
[433940.39884902],[0.],[2.9161543e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 1, 0, 1)"
[433940.39884902],[0.],[3.89491614e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 1, 0, 2)"
[433940.39884902],[0.],[2.07955518e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 1, 1, 0)"
[433940.39884902],[0.],[2.87982764e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 1, 1, 1)"
[433940.39884902],[0.],[3.85859121e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 1, 1, 2)"
[433940.39884902],[0.],[9.08432727e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 2, 0, 0)"
[433940.39884902],[0.],[7.87360617e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 2, 0, 1)"
[433940.39884902],[0.],[7.80251829e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 2, 0, 2)"
[433940.39884902],[0.],[8.344967e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 2, 1, 0)"
[433940.39884902],[0.],[7.3371704e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 2, 1, 1)"
[433940.39884902],[0.],[7.37199325e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 2, 1, 2)"
[433940.39884902],[0.],[1.98915039e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 3, 0, 0)"
[433940.39884902],[0.],[2.7562114e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 3, 0, 1)"
[433940.39884902],[0.],[3.72162212e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 3, 0, 2)"
[433940.39884902],[0.],[1.96555306e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 3, 1, 0)"
[433940.39884902],[0.],[2.73601955e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 3, 1, 1)"
[433940.39884902],[0.],[3.70277885e+09],[433940.39884902],[10.],"(0, 0, 2, 1, 3, 1, 2)"
[433830.39884902],[0.],[1.75339762e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 0, 0, 0)"
[433830.39884902],[0.],[2.55421688e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 0, 0, 1)"
[433830.39884902],[0.],[3.53299597e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 0, 0, 2)"
[433830.39884902],[0.],[1.75339762e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 0, 1, 0)"
[433830.39884902],[0.],[2.55421688e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 0, 1, 1)"
[433830.39884902],[0.],[3.53299597e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 0, 1, 2)"
[433830.39884902],[0.],[1.75339762e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 1, 0, 0)"
[433830.39884902],[0.],[2.55421688e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 1, 0, 1)"
[433830.39884902],[0.],[3.53299597e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 1, 0, 2)"
[433830.39884902],[0.],[1.75339762e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 1, 1, 0)"
[433830.39884902],[0.],[2.55421688e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 1, 1, 1)"
[433830.39884902],[0.],[3.53299597e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 1, 1, 2)"
[433830.39884902],[0.],[1.75339762e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 2, 0, 0)"
[433830.39884902],[0.],[2.55421688e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 2, 0, 1)"
[433830.39884902],[0.],[3.53299597e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 2, 0, 2)"
[433830.39884902],[0.],[1.75339762e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 2, 1, 0)"
[433830.39884902],[0.],[2.55421688e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 2, 1, 1)"
[433830.39884902],[0.],[3.53299597e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 2, 1, 2)"
[433830.39884902],[0.],[1.75339762e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 3, 0, 0)"
[433830.39884902],[0.],[2.55421688e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 3, 0, 1)"
[433830.39884902],[0.],[3.53299597e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 3, 0, 2)"
[433830.39884902],[0.],[1.75339762e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 3, 1, 0)"
[433830.39884902],[0.],[2.55421688e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 3, 1, 1)"
[433830.39884902],[0.],[3.53299597e+09],[433830.39884902],[10.],"(0, 0, 3, 0, 3, 1, 2)"
[433940.39884902],[0.],[1.85339762e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 0, 0, 0)"
[433940.39884902],[0.],[2.65421688e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 0, 0, 1)"
[433940.39884902],[0.],[3.63299597e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 0, 0, 2)"
[433940.39884902],[0.],[1.85339762e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 0, 1, 0)"
[433940.39884902],[0.],[2.65421688e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 0, 1, 1)"
[433940.39884902],[0.],[3.63299597e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 0, 1, 2)"
[433940.39884902],[0.],[1.85339762e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 1, 0, 0)"
[433940.39884902],[0.],[2.65421688e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 1, 0, 1)"
[433940.39884902],[0.],[3.63299597e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 1, 0, 2)"
[433940.39884902],[0.],[1.85339762e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 1, 1, 0)"
[433940.39884902],[0.],[2.65421688e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 1, 1, 1)"
[433940.39884902],[0.],[3.63299597e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 1, 1, 2)"
[433940.39884902],[0.],[1.85339762e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 2, 0, 0)"
