%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72717.383,297.060,353.316,134.031,0.009,0.001,5.000
72721.414,297.063,353.237,133.871,-0.024,0.001,5.000
72721.414,297.058,353.237,133.871,-0.024,0.011,5.000
72721.414,297.060,353.395,133.871,-0.007,0.001,5.000
72713.351,297.063,353.316,133.871,-0.024,0.011,5.000
72717.383,297.060,353.237,133.711,-0.007,0.011,5.000
72717.383,297.061,353.395,133.711,0.009,0.022,5.000
72725.445,297.061,353.395,133.871,0.025,0.001,5.000
72721.414,297.060,353.316,133.711,-0.007,0.001,5.000
72725.445,297.061,353.395,133.391,-0.024,0.001,5.000
72717.383,297.061,353.474,133.871,-0.007,-0.010,5.000
72717.383,297.065,353.553,133.711,-0.024,-0.010,5.000
72729.477,297.063,353.553,133.551,-0.024,-0.010,5.000
72725.445,297.061,353.553,134.031,-0.024,-0.021,5.000
72717.383,297.061,353.632,133.711,0.009,-0.021,5.000
72725.445,297.063,353.711,134.031,-0.007,-0.010,5.000
72725.445,297.065,353.711,134.031,-0.007,-0.010,5.000
72725.445,297.061,353.711,134.031,-0.007,0.022,5.000
72721.414,297.061,353.869,134.031,-0.007,0.001,5.000
72721.414,297.063,353.869,134.031,0.009,0.011,5.000
72721.414,297.065,353.948,134.031,-0.007,0.022,5.000
72729.477,297.061,353.869,134.031,-0.007,-0.010,5.000
72721.414,297.065,353.948,134.351,-0.007,-0.010,5.000
72721.414,297.061,354.106,134.031,0.009,0.001,5.000
72721.414,297.065,354.106,134.351,-0.024,0.011,5.000
72717.383,297.061,354.106,134.351,-0.007,0.011,5.000
72729.477,297.061,354.106,134.191,-0.007,0.001,5.000
72721.414,297.065,354.106,134.351,-0.007,0.022,5.000
72725.445,297.065,354.422,134.031,0.009,0.001,5.000
72721.414,297.061,354.343,134.351,-0.007,0.011,5.000
72717.383,297.063,354.264,134.511,0.009,0.022,5.000
72717.383,297.066,354.422,134.351,-0.007,0.001,5.000
72713.351,297.061,354.422,134.511,-0.007,0.011,5.000
72725.445,297.061,354.343,134.511,0.009,-0.010,5.000
72721.414,297.063,354.580,134.191,-0.007,0.001,5.000
72721.414,297.065,354.580,134.191,-0.007,0.001,5.000
72717.383,297.063,354.739,134.351,-0.007,0.022,5.000
72717.383,297.060,354.659,134.191,-0.007,0.001,5.000
72709.320,297.061,354.659,134.351,0.009,0.001,5.000
72717.383,297.061,354.659,134.351,0.009,0.001,5.000
72713.351,297.061,354.659,134.031,-0.007,0.022,5.000
72713.351,297.060,354.659,134.191,-0.007,0.011,5.000
72721.414,297.063,354.659,134.511,0.009,-0.021,5.000
72713.351,297.060,354.659,134.511,-0.007,0.011,5.000
72721.414,297.063,354.659,134.031,-0.007,0.001,5.000
72717.383,297.063,354.580,134.191,0.009,0.001,5.000
72717.383,297.061,354.739,134.031,-0.007,0.001,5.000
72713.351,297.063,354.739,134.191,-0.024,-0.010,5.000
72717.383,297.065,354.818,134.351,-0.007,-0.010,5.000
72709.320,297.063,354.739,134.031,-0.007,0.001,5.000
72701.257,297.061,354.659,134.031,-0.007,-0.010,5.000
72705.289,297.060,354.739,134.031,-0.007,0.001,5.000
