%Time (sec) 	Torsional Angle(°) 	Torsional Epsilon 3550 Torsion (°) 	Torsional Torque 	(in·lbf) Axial Epsilon 3550 Axial (in)
1423.14453125	47.2274488778187	-0.0548487835808344	-13.0515214407492	-4.87141162054508E-06
1423.154296875	47.2271654249682	-0.0576997238833347	-13.178440461489	-7.01829747424027E-06
1423.1640625	47.2295150100424	-0.0581899233583513	-13.2403764202849	-8.57066998299511E-06
1423.173828125	47.2269434438202	-0.0559270530051631	-13.2963468939008	-5.59210280881223E-06
1423.18359375	47.2251061229337	-0.0552563004143077	-13.224709372277	-3.88224325827715E-06
1423.193359375	47.2277323306692	-0.0549681618138953	-13.1363381055252	-3.28866704647254E-06
1423.203125	47.227257632522	-0.0562244897341905	-13.0447519761375	-6.26217258275746E-06
1423.212890625	47.2291051986922	-0.0558356358590133	-12.9847141262626	-6.31598024974092E-06
1423.22265625	47.2284255948699	-0.0557697185304353	-13.2690390255904	-7.13491320268764E-06
1423.232421875	47.2248465757453	-0.0551521400294786	-13.5666633484579	-4.15409579001402E-06
1423.2421875	47.224511896476	-0.0554002012943219	-13.6992007293999	-3.72925557451343E-06
1423.251953125	47.223582990749	-0.0560752460987812	-13.2526872234471	-6.90918160829122E-06
1423.26171875	47.2271039532657	-0.0572354577828195	-12.8509095808881	-5.9513230039592E-06
1423.271484375	47.2268444060773	-0.0553405872164909	-13.1004702829763	-4.40607494496591E-06
1423.28125	47.2282445948569	-0.0544612470517128	-13.353529667211	-6.58014605183479E-06
1423.291015625	47.2250992927446	-0.0524527212037951	-13.2455579727643	-2.81583078813629E-06
1423.30078125	47.2240098775721	-0.05233383322357	-13.2258256586796	-3.16942678576262E-06
1423.310546875	47.2244914059085	-0.0541931387814517	-13.1076005887502	-3.24385809552213E-06
1423.3203125	47.2259086701611	-0.057499407241609	-13.3094553459481	-7.34264624605303E-06
1423.330078125	47.2306010101203	-0.0592353558478366	-13.5056801369414	-8.81290015592289E-06
1423.33984375	47.2290437269897	-0.0564606115082011	-13.6428124397014	-4.62543207585061E-06
1423.349609375	47.2253110286088	-0.0537358229320247	-13.7543292403039	-4.82172845832384E-06
1423.359375	47.2254476323922	-0.0554051638536401	-13.2790349588403	-5.45317659794446E-06
1423.369140625	47.2226984812516	-0.0582246079127257	-12.7287616821829	-8.71747035013303E-06
1423.37890625	47.2269673494823	-0.059616432378706	-12.6586213348552	-9.8491271481495E-06
1423.388671875	47.2271620098736	-0.0578351737382735	-13.0164364958097	-8.36949910950982E-06
1423.3984375	47.2243104058955	-0.0540221939541853	-13.4008684403924	-4.25477521981148E-06
1423.408203125	47.2266155947401	-0.0533119676724091	-13.3734033635055	-1.4098840730063E-06
1423.41796875	47.223460047344	-0.0557578957664683	-13.2817908568399	-8.16120378626299E-06
1423.427734375	47.2240132926667	-0.0583126066292377	-13.5970373115565	-8.83708602357972E-06
1423.4375	47.2241157455042	-0.0588170467818676	-13.6100792928634	-9.00113467575759E-06
1423.447265625	47.2269331985365	-0.0563106741817043	-13.5834371870484	-5.23888138469897E-06
1423.45703125	47.2255603305135	-0.0544869736529094	-13.2880855304486	-1.23046126218934E-06
1423.466796875	47.2227326321974	-0.0541848244935617	-12.7934577593428	-4.62543207585061E-06
1423.4765625	47.2240918398421	-0.0562466811788835	-12.6031847373449	-6.98586315654147E-06
1423.486328125	47.2239313303966	-0.0563058917152646	-12.7803408665666	-6.58389626282519E-06
1423.49609375	47.2257413305264	-0.0556797521324733	-13.0914418682815	-5.72709138206245E-06
1423.505859375	47.2264550852946	-0.058175595969352	-13.3517845465022	-8.44899261664978E-06
1423.515625	47.2265268022809	-0.0599423004371605	-13.5294808823763	-1.06328132650252E-05
1423.525390625	47.2241874624905	-0.057443705181305	-13.8015055294531	-6.68045062837795E-06
1423.53515625	47.2199732357731	-0.055212981406926	-13.3888636136543	-5.54204423385422E-06
1423.544921875	47.2221862170639	-0.0544107776900447	-12.911726088008	-5.97888366986966E-06
1423.5546875	47.2228931416429	-0.0563460124065266	-12.8131436494183	-8.49098904922801E-06
1423.564453125	47.2255261795676	-0.0586156962736174	-12.9112502419139	-8.60985445668364E-06
1423.57421875	47.2240815945584	-0.0566839066671998	-12.9661898915077	-5.7638381906331E-06
1423.583984375	47.2218515377946	-0.0550939600245687	-13.0908605130756	-5.09358099006072E-06
1423.59375	47.2212675566207	-0.0544396792619879	-13.2730947958472	-2.87920056999918E-06
1423.603515625	47.2210728962294	-0.055920616352284	-13.5090912465252	-5.84914416114455E-06
1423.61328125	47.2245050662868	-0.0591917266804976	-13.4039229291784	-1.0525384798203E-05
1423.623046875	47.2249729342449	-0.0590585780123394	-13.3874666730144	-8.97826191345575E-06
1423.6328125	47.2256286324052	-0.0565157532795498	-13.3672184193731	-7.01192329046979E-06
1423.642578125	47.2219778962943	-0.0538298781053389	-13.0636813658816	-3.31791455202734E-06
1423.65234375	47.2220632736589	-0.0547339410202686	-12.9233531921259	-5.07670755827506E-06
1423.662109375	47.2227906888054	-0.055490277749043	-13.1101982230822	-4.74448463019215E-06
1423.671875	47.2240508587071	-0.0576788931403902	-13.4103463239034	-9.71263916188208E-06
1423.681640625	47.2258164626073	-0.0577369430782211	-13.5178295111627	-9.19724335186244E-06
1423.69140625	47.2232585567635	-0.0568335971997519	-13.2266201422913	-6.1468694001826E-06
1423.701171875	47.2219164245917	-0.055286766126251	-13.177983607035	-5.19707293823035E-06
1423.7109375	47.2221349906452	-0.0558795785213631	-13.1333827953043	-4.4467593911541E-06
1423.720703125	47.2223535566986	-0.0568192031096866	-13.0944182803247	-8.49942604486208E-06
1423.73046875	47.2253520097438	-0.0566770231171778	-13.4135696272682	-8.49961347148923E-06
1423.740234375	47.2236376322624	-0.0551495253476873	-13.3944271091184	-4.45875833192771E-06
1423.75	47.2211275377427	-0.0534413377251724	-13.2205238258127	-3.02618864350548E-06
1423.759765625	47.221947160443	-0.0546883408364262	-13.1682493363824	-2.44086172096655E-06
1423.76953125	47.2213085377557	-0.0566339942594336	-13.0218786557952	-7.03854570427956E-06
1423.779296875	47.2231151227909	-0.0573092158217181	-13.0633469019973	-6.58839562084171E-06
1423.7890625	47.222736047292	-0.0572100846972733	-13.1580149525399	-7.54812961041016E-06
1423.798828125	47.2224355189686	-0.0568100583935236	-13.3587027789615	-6.8758095979742E-06
1423.80859375	47.2226028586032	-0.0567442311113849	-13.5394451628926	-6.90411941091078E-06
1423.818359375	47.2174563110643	-0.0587620784332908	-13.0700878791487	-8.87776991028544E-06
1423.828125	47.2201439905024	-0.0584552601993158	-12.945767547832	-6.59233269897678E-06
1423.837890625	47.2219369151592	-0.0576461695973592	-13.051591076763	-6.98998766130369E-06
1423.84765625	47.2249763493395	-0.0555356744946339	-13.2044410719044	-6.847311798928E-06
1423.857421875	47.2219130094972	-0.0535032529897841	-13.2850120500225	-3.26860624306041E-06
1423.8671875	47.2203147452316	-0.0535225629484214	-13.168649215916	-3.88655518966652E-06
1423.876953125	47.2201064244619	-0.0553528135219079	-13.1207480791689	-6.10637238062156E-06
1423.88671875	47.2187608771956	-0.0561399994937557	-13.267198946681	-6.46840565362318E-06
1423.896484375	47.2229648586292	-0.0581441464166836	-13.4257031751227	-8.54160990406746E-06
1423.90625	47.2216978585383	-0.0573919384839011	-13.6909129886698	-6.54771173413599E-06
1423.916015625	47.22168419816	-0.0571471922620432	-13.4412531080165	-8.7422184976713E-06
1423.92578125	47.2182930092375	-0.0564371394030389	-13.0729060275243	-5.69409422499973E-06
1423.935546875	47.2168142732824	-0.0563239543639658	-13.0208119586751	-7.82804372504433E-06
1423.9453125	47.2214588019174	-0.0579251401362355	-12.8218945751492	-7.08110497622171E-06
1423.955078125	47.2223159906581	-0.0568715034156192	-12.819330703733	-5.08233203553695E-06
1423.96484375	47.2229307076834	-0.0548581717558886	-13.199321769801	-4.16253278564809E-06
1423.974609375	47.2219095944026	-0.0543934787685504	-13.561978743895	-5.63766090678877E-06
1423.984375	47.2189418772086	-0.055297605049493	-13.8992597215153	-6.72319676746478E-06
1423.994140625	47.217606575226	-0.0562988947734303	-13.689526598941	-4.23827664128012E-06
1424.00390625	47.2177670846715	-0.0554502904599133	-13.3905823570852	-5.79552336130578E-06
1424.013671875	47.2205401414742	-0.0541414387851139	-13.3737652597589	-4.27521087647791E-06
1424.0234375	47.220171311259	-0.0560279950635526	-13.1610588904147	-6.59420808421321E-06
1424.033203125	47.2197000282064	-0.0571154292143641	-12.9241086373662	-8.77090316386219E-06
1424.04296875	47.2176509714556	-0.0573640040774165	-12.9038171249891	-5.62509996587495E-06
1424.052734375	47.2156155750832	-0.056843048740819	-13.0750341463089	-7.87660232750267E-06
1424.0625	47.2212436509586	-0.0565816472627547	-13.3406438393896	-6.86137271234148E-06
